Pattern,Purchaser_PGVCL,Purchaser_UGVCL,DSMGEN_PGVCL,DSMGEN_UGVCL
"M4,D13,H11",1510.5,1425,1089.5,675
"M4,D13,H12",1666.5,1425,933.5,675
"M4,D13,H13",1486,1610,1114,490
"M4,D13,H14",1313,1507.5,1287,592.5
"M4,D13,H15",1265.5,1275,1334.5,825
"M4,D13,H16",1265.5,1242.5,1334.5,857.5
"M4,D13,H17",948,1287.5,1652,812.5
"M4,D13,H18",948,1237.5,1652,862.5
"M4,D13,H19",777,1237.5,1823,862.5
"M4,D13,H20",750,1277.5,1850,822.5
"M4,D13,H21",1197.5,1292.5,1402.5,807.5
"M4,D13,H22",1250,1350,1350,750
"M4,D13,H23",1502,1535,1098,565
"M4,D13,H24",1502,1672.5,1098,427.5
"M4,D14,H1",2160,1967.5,440,132.5
"M4,D14,H2",2513,1967.5,87,132.5
"M4,D14,H3",2384,1967.5,216,132.5
"M4,D14,H4",2384,1927.5,216,172.5
"M4,D14,H5",2117,1727.5,483,372.5
"M4,D14,H6",2237.5,1772.5,362.5,327.5
"M4,D14,H7",2033,1820,567,280
"M4,D14,H8",2033,1715,567,385
"M4,D14,H9",1692.5,1890,907.5,210
"M4,D14,H10",1339.5,1425,1260.5,675
"M4,D14,H11",1510.5,1425,1089.5,675
"M4,D14,H12",1666.5,1425,933.5,675
"M4,D14,H13",1486,1610,1114,490
"M4,D14,H14",1313,1507.5,1287,592.5
"M4,D14,H15",1265.5,1275,1334.5,825
"M4,D14,H16",1265.5,1242.5,1334.5,857.5
"M4,D14,H17",948,1287.5,1652,812.5
"M4,D14,H18",948,1237.5,1652,862.5
"M4,D14,H19",777,1237.5,1823,862.5
"M4,D14,H20",750,1277.5,1850,822.5
"M4,D14,H21",1197.5,1292.5,1402.5,807.5
"M4,D14,H22",1250,1350,1350,750
"M4,D14,H23",1502,1535,1098,565
"M4,D14,H24",1502,1672.5,1098,427.5
"M4,D15,H1",2160,1967.5,440,132.5
"M4,D15,H2",2513,1967.5,87,132.5
"M4,D15,H3",2384,1967.5,216,132.5
"M4,D15,H4",2384,1927.5,216,172.5
"M4,D15,H5",2117,1727.5,483,372.5
"M4,D15,H6",2237.5,1772.5,362.5,327.5
"M4,D15,H7",2033,1820,567,280
"M4,D15,H8",2033,1715,567,385
"M4,D15,H9",1692.5,1890,907.5,210
"M4,D15,H10",1339.5,1425,1260.5,675
"M4,D15,H11",1510.5,1425,1089.5,675
"M4,D15,H12",1666.5,1425,933.5,675
"M4,D15,H13",1486,1610,1114,490
"M4,D15,H14",1313,1507.5,1287,592.5
"M4,D15,H15",1265.5,1275,1334.5,825
"M4,D15,H16",1265.5,1242.5,1334.5,857.5
"M4,D15,H17",948,1287.5,1652,812.5
"M4,D15,H18",948,1237.5,1652,862.5
"M4,D15,H19",777,1237.5,1823,862.5
"M4,D15,H20",750,1277.5,1850,822.5
"M4,D15,H21",1197.5,1292.5,1402.5,807.5
"M4,D15,H22",1250,1350,1350,750
"M4,D15,H23",1502,1535,1098,565
"M4,D15,H24",1502,1672.5,1098,427.5
"M4,D16,H1",2160,1967.5,440,132.5
"M4,D16,H2",2513,1967.5,87,132.5
"M4,D16,H3",2384,1967.5,216,132.5
"M4,D16,H4",2384,1927.5,216,172.5
"M4,D16,H5",2117,1727.5,483,372.5
"M4,D16,H6",2237.5,1772.5,362.5,327.5
"M4,D16,H7",2033,1820,567,280
"M4,D16,H8",2033,1715,567,385
"M4,D16,H9",1692.5,1890,907.5,210
"M4,D16,H10",1339.5,1425,1260.5,675
"M4,D16,H11",1510.5,1425,1089.5,675
"M4,D16,H12",1666.5,1425,933.5,675
"M4,D16,H13",1486,1610,1114,490
"M4,D16,H14",1313,1507.5,1287,592.5
"M4,D16,H15",1265.5,1275,1334.5,825
"M4,D16,H16",1265.5,1242.5,1334.5,857.5
"M4,D16,H17",948,1287.5,1652,812.5
"M4,D16,H18",948,1237.5,1652,862.5
"M4,D16,H19",777,1237.5,1823,862.5
"M4,D16,H20",750,1277.5,1850,822.5
"M4,D16,H21",1197.5,1292.5,1402.5,807.5
"M4,D16,H22",1250,1350,1350,750
"M4,D16,H23",1502,1535,1098,565
"M4,D16,H24",1502,1672.5,1098,427.5
"M4,D17,H1",2160,1967.5,440,132.5
"M4,D17,H2",2513,1967.5,87,132.5
"M4,D17,H3",2384,1967.5,216,132.5
"M4,D17,H4",2384,1927.5,216,172.5
"M4,D17,H5",2117,1727.5,483,372.5
"M4,D17,H6",2237.5,1772.5,362.5,327.5
"M4,D17,H7",2033,1820,567,280
"M4,D17,H8",2033,1715,567,385
"M4,D17,H9",1692.5,1890,907.5,210
"M4,D17,H10",1339.5,1425,1260.5,675
"M4,D17,H11",1510.5,1425,1089.5,675
"M4,D17,H12",1666.5,1425,933.5,675
"M4,D17,H13",1486,1610,1114,490
"M4,D17,H14",1313,1507.5,1287,592.5
"M4,D17,H15",1265.5,1275,1334.5,825
"M4,D17,H16",1265.5,1242.5,1334.5,857.5
