Pattern,Purchaser_PGVCL,Purchaser_UGVCL,DSMGEN_PGVCL,DSMGEN_UGVCL
"M7, D8",18.616,25.4525,43.784,24.9475
"M7, D9",18.616,25.4525,43.784,24.9475
"M8, D1",18.616,25.4525,43.784,24.9475
"M8, D10",18.616,25.4525,43.784,24.9475
"M8, D11",18.616,25.4525,43.784,24.9475
"M8, D12",18.616,25.4525,43.784,24.9475
"M8, D13",18.616,25.4525,43.784,24.9475
"M8, D14",18.616,25.4525,43.784,24.9475
"M8, D15",18.616,25.4525,43.784,24.9475
"M8, D16",18.616,25.4525,43.784,24.9475
"M8, D17",18.616,25.4525,43.784,24.9475
"M8, D18",18.616,25.4525,43.784,24.9475
"M8, D19",18.616,25.4525,43.784,24.9475
"M8, D2",18.616,25.4525,43.784,24.9475
"M8, D20",18.616,25.4525,43.784,24.9475
"M8, D21",18.616,25.4525,43.784,24.9475
"M8, D22",18.616,25.4525,43.784,24.9475
"M8, D23",18.616,25.4525,43.784,24.9475
"M8, D24",18.616,25.4525,43.784,24.9475
"M8, D25",18.616,25.4525,43.784,24.9475
"M8, D26",18.616,25.4525,43.784,24.9475
"M8, D27",18.616,25.4525,43.784,24.9475
"M8, D28",18.616,25.4525,43.784,24.9475
"M8, D29",18.616,25.4525,43.784,24.9475
"M8, D3",18.616,25.4525,43.784,24.9475
"M8, D30",18.616,25.4525,43.784,24.9475
"M8, D31",18.616,25.4525,43.784,24.9475
"M8, D4",18.616,25.4525,43.784,24.9475
"M8, D5",18.616,25.4525,43.784,24.9475
"M8, D6",18.616,25.4525,43.784,24.9475
"M8, D7",18.616,25.4525,43.784,24.9475
"M8, D8",18.616,25.4525,43.784,24.9475
"M8, D9",18.616,25.4525,43.784,24.9475
"M9, D1",20.54325,26.441,41.85675,23.959
"M9, D10",20.54325,26.441,41.85675,23.959
"M9, D11",20.54325,26.441,41.85675,23.959
"M9, D12",20.54325,26.441,41.85675,23.959
"M9, D13",20.54325,26.441,41.85675,23.959
"M9, D14",20.54325,26.441,41.85675,23.959
"M9, D15",20.54325,26.441,41.85675,23.959
"M9, D16",20.54325,26.441,41.85675,23.959
"M9, D17",20.54325,26.441,41.85675,23.959
"M9, D18",20.54325,26.441,41.85675,23.959
"M9, D19",20.54325,26.441,41.85675,23.959
"M9, D2",20.54325,26.441,41.85675,23.959
"M9, D20",20.54325,26.441,41.85675,23.959
"M9, D21",20.54325,26.441,41.85675,23.959
"M9, D22",20.54325,26.441,41.85675,23.959
"M9, D23",20.54325,26.441,41.85675,23.959
"M9, D24",20.54325,26.441,41.85675,23.959
"M9, D25",20.54325,26.441,41.85675,23.959
"M9, D26",20.54325,26.441,41.85675,23.959
"M9, D27",20.54325,26.441,41.85675,23.959
"M9, D28",20.54325,26.441,41.85675,23.959
"M9, D29",20.54325,26.441,41.85675,23.959
"M9, D3",20.54325,26.441,41.85675,23.959
"M9, D30",20.54325,26.441,41.85675,23.959
"M9, D4",20.54325,26.441,41.85675,23.959
"M9, D5",20.54325,26.441,41.85675,23.959
"M9, D6",20.54325,26.441,41.85675,23.959
"M9, D7",20.54325,26.441,41.85675,23.959
"M9, D8",20.54325,26.441,41.85675,23.959
"M9, D9",20.54325,26.441,41.85675,23.959
"M1, D1",33.6,38.135,28.8,12.265
"M1, D10",33.6,38.135,28.8,12.265
"M1, D11",33.6,38.135,28.8,12.265
"M1, D12",33.6,38.135,28.8,12.265
"M1, D13",33.6,38.135,28.8,12.265
"M1, D14",33.6,38.135,28.8,12.265
"M1, D15",33.6,38.135,28.8,12.265
"M1, D16",33.6,38.135,28.8,12.265
"M1, D17",33.6,38.135,28.8,12.265
"M1, D18",33.6,38.135,28.8,12.265
"M1, D19",33.6,38.135,28.8,12.265
"M1, D2",33.6,38.135,28.8,12.265
"M1, D20",33.6,38.135,28.8,12.265
"M1, D21",33.6,38.135,28.8,12.265
"M1, D22",33.6,38.135,28.8,12.265
"M1, D23",33.6,38.135,28.8,12.265
"M1, D24",33.6,38.135,28.8,12.265
"M1, D25",33.6,38.135,28.8,12.265
"M1, D26",33.6,38.135,28.8,12.265
"M1, D27",33.6,38.135,28.8,12.265
"M1, D28",33.6,38.135,28.8,12.265
"M1, D29",33.6,38.135,28.8,12.265
"M1, D3",33.6,38.135,28.8,12.265
"M1, D30",33.6,38.135,28.8,12.265
"M1, D31",33.6,38.135,28.8,12.265
"M1, D4",33.6,38.135,28.8,12.265
"M1, D5",33.6,38.135,28.8,12.265
"M1, D6",33.6,38.135,28.8,12.265
"M1, D7",33.6,38.135,28.8,12.265
