Pattern,Solar_PV_Pump,Solar_PV_Buildings_DGVCL,Solar_PV_Buildings_Kachchh,Solar_PV_Buildings_MGVCL,Solar_PV_Pumps_PGVCL,Solar_PV_Buildings_UGVCL,Solar_PV_Utility_DGVCL,Solar_PV_Utility_Kachchh,Solar_PV_Utility_MGVCL,Solar_PV_Utility_PGVCL,Solar_PV_Utility_UGVCL,Wind_Offshore_Ahmedabad,Wind_Offshore_DGVCL,Wind_Offshore_Kachchh,Wind_Offshore_MGVCL,Wind_Offshore_PGVCL,Wind_Offshore_Surat,Wind_Offshore_UGVCL,Wind_Onshore_Ahmedabad,Wind_Onshore_DGVCL,Wind_Onshore_Kachchh,Wind_Onshore_MGVCL,Wind_Onshore_PGVCL,Wind_Onshore_Surat,Wind_Onshore_UGVCL
"M4,D30,H3",0,0,0,0,0,0,0,0,0,0,0,18.42522459,18.42522459,18.42522459,18.42522459,18.42522459,18.42522459,18.42522459,18.42522459,18.42522459,18.42522459,18.42522459,18.42522459,18.42522459,18.42522459
"M4,D30,H4",0,0,0,0,0,0,0,0,0,0,0,17.7734719,17.7734719,17.7734719,17.7734719,17.7734719,17.7734719,17.7734719,17.7734719,17.7734719,17.7734719,17.7734719,17.7734719,17.7734719,17.7734719
"M4,D30,H5",0,0,0,0,0,0,0,0,0,0,0,16.83988022,16.83988022,16.83988022,16.83988022,16.83988022,16.83988022,16.83988022,16.83988022,16.83988022,16.83988022,16.83988022,16.83988022,16.83988022,16.83988022
"M4,D30,H6",0,0,0,0,0,0,0,0,0,0,0,15.87105866,15.87105866,15.87105866,15.87105866,15.87105866,15.87105866,15.87105866,15.87105866,15.87105866,15.87105866,15.87105866,15.87105866,15.87105866,15.87105866
"M4,D30,H7",0.0455805,4.558050009,4.558050009,4.558050009,4.558050009,4.558050009,4.558050009,4.558050009,4.558050009,4.558050009,4.558050009,14.99031178,14.99031178,14.99031178,14.99031178,14.99031178,14.99031178,14.99031178,14.99031178,14.99031178,14.99031178,14.99031178,14.99031178,14.99031178,14.99031178
"M4,D30,H8",0.182563411,18.25634107,18.25634107,18.25634107,18.25634107,18.25634107,18.25634107,18.25634107,18.25634107,18.25634107,18.25634107,12.18953673,12.18953673,12.18953673,12.18953673,12.18953673,12.18953673,12.18953673,12.18953673,12.18953673,12.18953673,12.18953673,12.18953673,12.18953673,12.18953673
"M4,D30,H9",0.357918331,35.79183307,35.79183307,35.79183307,35.79183307,35.79183307,35.79183307,35.79183307,35.79183307,35.79183307,35.79183307,9.089307733,9.089307733,9.089307733,9.089307733,9.089307733,9.089307733,9.089307733,9.089307733,9.089307733,9.089307733,9.089307733,9.089307733,9.089307733,9.089307733
"M4,D30,H10",0.512130959,51.21309588,51.21309588,51.21309588,51.21309588,51.21309588,51.21309588,51.21309588,51.21309588,51.21309588,51.21309588,8.737008984,8.737008984,8.737008984,8.737008984,8.737008984,8.737008984,8.737008984,8.737008984,8.737008984,8.737008984,8.737008984,8.737008984,8.737008984,8.737008984
"M4,D30,H11",0.629632668,62.96326676,62.96326676,62.96326676,62.96326676,62.96326676,62.96326676,62.96326676,62.96326676,62.96326676,62.96326676,9.371146732,9.371146732,9.371146732,9.371146732,9.371146732,9.371146732,9.371146732,9.371146732,9.371146732,9.371146732,9.371146732,9.371146732,9.371146732,9.371146732
"M4,D30,H12",0.699847635,69.98476346,69.98476346,69.98476346,69.98476346,69.98476346,69.98476346,69.98476346,69.98476346,69.98476346,69.98476346,10.16381892,10.16381892,10.16381892,10.16381892,10.16381892,10.16381892,10.16381892,10.16381892,10.16381892,10.16381892,10.16381892,10.16381892,10.16381892,10.16381892
"M4,D30,H13",0.716425077,71.64250766,71.64250766,71.64250766,71.64250766,71.64250766,71.64250766,71.64250766,71.64250766,71.64250766,71.64250766,11.07979567,11.07979567,11.07979567,11.07979567,11.07979567,11.07979567,11.07979567,11.07979567,11.07979567,11.07979567,11.07979567,11.07979567,11.07979567,11.07979567
"M4,D30,H14",0.683782695,68.37826945,68.37826945,68.37826945,68.37826945,68.37826945,68.37826945,68.37826945,68.37826945,68.37826945,68.37826945,12.80605954,12.80605954,12.80605954,12.80605954,12.80605954,12.80605954,12.80605954,12.80605954,12.80605954,12.80605954,12.80605954,12.80605954,12.80605954,12.80605954
